review_id,actual_stars,predicted_stars,valid_json,explanation,raw_output
0,4,4,True,Friendly service,"{""predicted_stars"": 4, ""explanation"": ""Friendly service""}"
1,5,5,True,Excellent review,"{""predicted_stars"": 5, ""explanation"": ""Excellent review""}"
2,3,4,True,Good food and service.,"{""predicted_stars"": 4, ""explanation"": ""Good food and service.""}"
3,1,1,True,Extremely negative experience,"{""predicted_stars"": 1, ""explanation"": ""Extremely negative experience""}"
4,5,5,True,Strongly recommended,"{""predicted_stars"": 5, ""explanation"": ""Strongly recommended""}"
5,4,4,True,Minor complaints only,"{""predicted_stars"": 4, ""explanation"": ""Minor complaints only""}"
6,4,4,True,Good food quality,"{""predicted_stars"": 4, ""explanation"": ""Good food quality""}"
7,4,5,True,Reviewer loves everything,"{""predicted_stars"": 5, ""explanation"": ""Reviewer loves everything""}"
8,5,5,True,Excellent experience overall.,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience overall.""}"
9,1,1,True,Very poor service and food,"{""predicted_stars"": 1, ""explanation"": ""Very poor service and food""}"
10,4,5,True,Excellent service and food,"{""predicted_stars"": 5, ""explanation"": ""Excellent service and food""}"
11,5,5,True,Excellent overall experience,"{""predicted_stars"": 5, ""explanation"": ""Excellent overall experience""}"
12,3,5,True,Reviewer loves product,"{""predicted_stars"": 5, ""explanation"": ""Reviewer loves product""}"
13,4,4,True,Minor complaints exist,"{
    ""predicted_stars"": 4,
    ""explanation"": ""Minor complaints exist""
}"
14,5,5,True,Excellent service,"{""predicted_stars"": 5, ""explanation"": ""Excellent service""}"
15,2,3,True,Average food and high prices,"{""predicted_stars"": 3, ""explanation"": ""Average food and high prices""}"
16,4,2,True,Major issues with service,"{""predicted_stars"": 2, ""explanation"": ""Major issues with service""}"
17,4,5,True,Excellent experience,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience""}"
18,5,5,True,"Great food, no complaints.","{""predicted_stars"": 5, ""explanation"": ""Great food, no complaints.""}"
19,5,4,True,Convenient airport,"{""predicted_stars"": 4, ""explanation"": ""Convenient airport""}"
20,5,5,True,Excellent food quality,"{""predicted_stars"": 5, ""explanation"": ""Excellent food quality""}"
21,5,5,True,Great food and service,"{""predicted_stars"": 5, ""explanation"": ""Great food and service""}"
22,1,1,True,"Rude staff, overpriced","{
    ""predicted_stars"": 1,
    ""explanation"": ""Rude staff, overpriced""
}"
23,4,4,True,"Great service, minor complaints","{""predicted_stars"": 4, ""explanation"": ""Great service, minor complaints""}"
24,4,5,True,Excellent food and service,"{
    ""predicted_stars"": 5,
    ""explanation"": ""Excellent food and service""
}"
25,4,4,True,Good food and value.,"{""predicted_stars"": 4, ""explanation"": ""Good food and value.""}"
26,1,2,True,High prices,"{""predicted_stars"": 2, ""explanation"": ""High prices""}"
27,4,4,True,Minor complaints exist,"{""predicted_stars"": 4, ""explanation"": ""Minor complaints exist""}"
28,2,2,True,Multiple complaints exist,"{""predicted_stars"": 2, ""explanation"": ""Multiple complaints exist""}"
29,2,2,True,Poor service,"{""predicted_stars"": 2, ""explanation"": ""Poor service""}"
30,1,1,True,Very negative experience,"{""predicted_stars"": 1, ""explanation"": ""Very negative experience""}"
31,1,1,True,Extremely negative experience,"{""predicted_stars"": 1, ""explanation"": ""Extremely negative experience""}"
32,3,4,True,"Good food, minor complaints","{
    ""predicted_stars"": 4,
    ""explanation"": ""Good food, minor complaints""
}"
33,4,5,True,Reviewer loved everything,"{""predicted_stars"": 5, ""explanation"": ""Reviewer loved everything""}"
34,5,5,True,Clean and efficient,"{""predicted_stars"": 5, ""explanation"": ""Clean and efficient""}"
35,5,5,True,Strongly recommended,"{""predicted_stars"": 5, ""explanation"": ""Strongly recommended""}"
36,5,5,True,Excellent food quality,"{""predicted_stars"": 5, ""explanation"": ""Excellent food quality""}"
37,5,4,True,"Good food, minor complaints","{
    ""predicted_stars"": 4,
    ""explanation"": ""Good food, minor complaints""
}"
38,4,4,True,"Great food, minor complaints","{""predicted_stars"": 4, ""explanation"": ""Great food, minor complaints""}"
