review_id,actual_stars,predicted_stars,valid_json,explanation,raw_output
0,4,4,True,Positive experience with minor concerns,"{""predicted_stars"": 4, ""explanation"": ""Positive experience with minor concerns""}"
1,5,5,True,Strongly positive review,"{""predicted_stars"": 5, ""explanation"": ""Strongly positive review""}"
2,3,4,True,Positive experience with routine visits,"{""predicted_stars"": 4, ""explanation"": ""Positive experience with routine visits""}"
3,1,1,True,Extremely negative experience with unacceptable service,"{""predicted_stars"": 1, ""explanation"": ""Extremely negative experience with unacceptable service""}"
4,5,5,True,Strongly positive experience,"{""predicted_stars"": 5, ""explanation"": ""Strongly positive experience""}"
5,4,5,True,Very positive experience with minor issues.,"{""predicted_stars"": 5, ""explanation"": ""Very positive experience with minor issues.""}"
6,4,4,True,Good food and happy hour with minor service issues.,"{""predicted_stars"": 4, ""explanation"": ""Good food and happy hour with minor service issues.""}"
7,4,5,True,Very positive review,"{""predicted_stars"": 5, ""explanation"": ""Very positive review""}"
8,5,5,True,Very positive experience with great food,"{""predicted_stars"": 5, ""explanation"": ""Very positive experience with great food""}"
9,1,1,True,Very negative experience with poor food quality,"{""predicted_stars"": 1, ""explanation"": ""Very negative experience with poor food quality""}"
10,4,5,True,Very positive experience with no complaints.,"{""predicted_stars"": 5, ""explanation"": ""Very positive experience with no complaints.""}"
11,5,5,True,Very positive experience with great atmosphere,"{""predicted_stars"": 5, ""explanation"": ""Very positive experience with great atmosphere""}"
12,3,5,True,Very positive tone,"{""predicted_stars"": 5, ""explanation"": ""Very positive tone""}"
13,4,4,True,Mostly positive experience with minor staff issue.,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive experience with minor staff issue.""}"
14,5,5,True,Very helpful and supportive service,"{""predicted_stars"": 5, ""explanation"": ""Very helpful and supportive service""}"
15,2,3,True,Average experience with mixed positives and negatives.,"{""predicted_stars"": 3, ""explanation"": ""Average experience with mixed positives and negatives.""}"
16,4,2,True,Negative experience with multiple issues,"{""predicted_stars"": 2, ""explanation"": ""Negative experience with multiple issues""}"
17,4,5,True,Very positive review with helpful tip,"{""predicted_stars"": 5, ""explanation"": ""Very positive review with helpful tip""}"
18,5,5,True,Very positive review with strong praise,"{""predicted_stars"": 5, ""explanation"": ""Very positive review with strong praise""}"
19,5,4,True,Convenient airport with minor limitations,"{""predicted_stars"": 4, ""explanation"": ""Convenient airport with minor limitations""}"
20,5,5,True,Excellent experience with minor suggestions,"{""predicted_stars"": 5, ""explanation"": ""Excellent experience with minor suggestions""}"
