repeat,review_id,actual_stars,predicted_stars,valid_json,raw_output
0,0,5,5,True,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive review""}"
0,1,1,1,True,"{""predicted_stars"": 1, ""explanation"": ""Very negative experience with food and service.""}"
0,2,1,1,True,"{""predicted_stars"": 1, ""explanation"": ""Very negative experience""}"
0,3,5,5,True,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive review with great experience""}"
0,4,4,5,True,"{""predicted_stars"": 5, ""explanation"": ""Reviewer loves Apple products.""}"
0,5,3,4,True,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
0,6,5,5,True,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive review with glowing praise.""}"
0,7,4,4,True,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
0,8,5,5,True,"{""predicted_stars"": 5, ""explanation"": ""Excellent dinner and service.""}"
0,9,3,3,True,"{""predicted_stars"": 3, ""explanation"": ""Mixed review with neutral sentiment.""}"
0,10,5,5,True,"{""predicted_stars"": 5, ""explanation"": ""Reviewer loves the place and service.""}"
0,11,4,4,True,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
0,12,4,4,True,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
0,13,2,2,True,"{""predicted_stars"": 2, ""explanation"": ""Mostly negative review""}"
0,14,5,5,True,"{""predicted_stars"": 5, ""explanation"": ""Reviewer had excellent experience""}"
0,15,5,5,True,"{""predicted_stars"": 5, ""explanation"": ""Reviewer had excellent experience""}"
0,16,4,5,True,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive review""}"
0,17,2,2,True,"{""predicted_stars"": 2, ""explanation"": ""Mostly negative review""}"
0,18,4,4,True,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
0,19,4,5,True,"{""predicted_stars"": 5, ""explanation"": ""Very positive review with minor issues.""}"
1,0,5,5,True,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive review.""}"
1,1,1,1,True,"{""predicted_stars"": 1, ""explanation"": ""Very negative experience""}"
1,2,1,1,True,"{""predicted_stars"": 1, ""explanation"": ""Very negative experience""}"
1,3,5,5,True,"{""predicted_stars"": 5, ""explanation"": ""Review is extremely positive""}"
1,4,4,5,True,"{""predicted_stars"": 5, ""explanation"": ""Reviewer loves Apple products.""}"
1,5,3,4,True,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
1,6,5,5,True,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive review with glowing praise.""}"
1,7,4,4,True,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
1,8,5,5,True,"{""predicted_stars"": 5, ""explanation"": ""Excellent dinner and service.""}"
1,9,3,3,True,"{""predicted_stars"": 3, ""explanation"": ""Mixed review with some negative comments""}"
1,10,5,5,True,"{""predicted_stars"": 5, ""explanation"": ""Reviewer loves the place and service.""}"
1,11,4,4,True,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
1,12,4,4,True,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
1,13,2,2,True,"{""predicted_stars"": 2, ""explanation"": ""Mostly negative review with some positive notes""}"
1,14,5,5,True,"{""predicted_stars"": 5, ""explanation"": ""Reviewer had excellent experience""}"
1,15,5,5,True,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive review""}"
1,16,4,5,True,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive review""}"
1,17,2,2,True,"{""predicted_stars"": 2, ""explanation"": ""Mostly negative review""}"
1,18,4,4,True,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
1,19,4,5,True,"{""predicted_stars"": 5, ""explanation"": ""Very positive review""}"
2,0,5,5,True,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive review""}"
2,1,1,1,True,"{""predicted_stars"": 1, ""explanation"": ""Very negative experience""}"
2,2,1,1,True,"{""predicted_stars"": 1, ""explanation"": ""Very negative experience""}"
2,3,5,5,True,"{""predicted_stars"": 5, ""explanation"": ""Extremely positive review""}"
2,4,4,5,True,"{""predicted_stars"": 5, ""explanation"": ""Reviewer loves Apple products.""}"
2,5,3,4,True,"{""predicted_stars"": 4, ""explanation"": ""Mostly positive with minor issues""}"
2,6,5,5,True,"{""predicted_stars"": 5, ""explanation"": ""Reviewer loved the experience.""}"
